aggregation_id	member_id	quote	URL	note
COHO:0000282	COHO:0000267	There are 340 cases belongs to ICGC GACA-CN project.	https://ega-archive.org/studies/EGAS00001002313	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000282	COHO:0000273	ICGC Pancreatic Cancer study	https://ega-archive.org/studies/EGAS00001002311	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000297	COHO:0000100	MeDALL epigenetics study includes illumina 450k methylation measurements from 4 cohorts: Infancia y Medio Ambiente (INMA)	https://ega-archive.org/studies/EGAS00001002169	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000297	COHO:0000252	Etudes des Déterminants pré et postnatals précoces du développement et de la santé de l’ENfant (EDEN)	https://ega-archive.org/studies/EGAS00001002169	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000297	COHO:0000037	Children’s Allergy Environment Stockholm Epidemiology study(BAMSE)	https://ega-archive.org/studies/EGAS00001002169	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000297	COHO:0000324	Prevention and Incidence of Asthma and Mite Allergy (PIAMA)	https://ega-archive.org/studies/EGAS00001002169	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000344	COHO:0000082	GoDARTS T2D-GENES Exome Sequencing Study is a subset of the ~52,000 Type 2 diabetes exome sequencing project.	https://ega-archive.org/studies/EGAS00001002937	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000348	COHO:0000175	obtaining the genome-wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts	https://ega-archive.org/studies/EGAS00001000090	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000348	COHO:0000016	obtaining the genome-wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts	https://ega-archive.org/studies/EGAS00001000090	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000348	COHO:0000349	UK10K_RARE_NEUROMUSCULAR	https://ega-archive.org/studies/EGAS00001000101	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000348	COHO:0000331	UK10K_OBESITY_SCOOP	https://ega-archive.org/studies/EGAS00001000124	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000071	COHO:0000290	will produce whole genome sequencing with 1x coverage on a subset of the Finrisk 2012 sample collection	https://ega-archive.org/studies/EGAS00001000143	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000085	COHO:0000262	ENCORAFENIB COMBINED WITH BINIMETINIB FOR BRAFV600E-MUTATED RELAPSED/REFRACTORY MULTIPLE MYELOMA: THE PHASE II GMMG-BIRMA TRIAL (Hipo_K08K)	https://ega-archive.org/studies/EGAS00001005973	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
COHO:0000022	COHO:0000227	two phase III trials, namely NeoALTTO and CALGB 40601	https://ega-archive.org/studies/EGAS00001007563	membership stated in the member's EGA study; added 2026-09-22 when the cohorts were minted from the EGA review
