COHO ID	change	value	quote	URL	reason	source row	status
COHO:0000524	proposed: remove synonym	TRAILS population cohort	The population cohort includes participants born between 1 October 1989 and 30 September 1991, who lived in the North of The Netherlands at the time of the baseline assessment in 2001/02.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4339762/fullTextXML	Once COHO:0000524 covers both TRAILS cohorts, 'TRAILS population cohort' names only one of them; the population cohort could instead be minted as a second sub-cohort; curator's decision.	661 (TRAILSCC)	applied 2026-09-23 at the curator's request
COHO:0000111	example study	EGAS00001000910 replaces EGAS00001003818 as the EGA subset's example	The Lothian Birth Cohort of 1921 and the Lothian Birth Cohort of 1936.	https://ega-archive.org/studies/EGAS00001000910	An EGA study of both cohorts, so the umbrella keeps an EGA example and its place in the EGA subset once its 1921 study moves to the 1921 cohort.	394 (LBC21)	applied 2026-09-23
COHO:0000197	acronym synonym	SDC			"The PGS Catalog's cohort list (src/curation/pgs_catalog_cohorts.csv) names its cohort SDC ""Singapore Diabetic Cohort Study"", the term's new label; its cohort DC keeps the old label ""Diabetic Cohort"", now a synonym."	656 (SDCS)	applied 2026-09-23 with the relabelling
COHO:0000025	GWAS Catalog tag	CaPS goes to the Caerphilly Prospective Study (COHO:0001555), not to this term	The Caerphilly Prospective Study was undertaken by the former MRC Epidemiology Unit (South Wales) and was funded by the Medical Research Council of the United Kingdom.	https://ars.els-cdn.com/content/image/1-s2.0-S0092867420308229-mmc1.xlsx	The GWAS Catalog's 30 studies tagged CaPS (PMID:32888493) are of the Caerphilly Prospective Study; an earlier match that ignored case gave the tag to this term (acronym CAPS), whose own example was already corrected to a Cancer of the Prostate in Sweden study (GCST001942). The Caerphilly term, minted in the fifth tier, now has GCST90002292 as its example and is in the GWAS subset; this term keeps CAPS, its example and its editor note on the shared acronym.	1422 (E145)	applied 2026-09-24
COHO:0001555	example study	GCST90002292 (PMID:32888493), and the GWAS subset	The Caerphilly Prospective Study was undertaken by the former MRC Epidemiology Unit (South Wales) and was funded by the Medical Research Council of the United Kingdom.	https://ars.els-cdn.com/content/image/1-s2.0-S0092867420308229-mmc1.xlsx	The check's GWAS Catalog study for the Caerphilly Prospective Study, dropped when the fifth-tier row was assembled (tier-E rows were assumed to have no GWAS Catalog study).	1422 (E145)	applied 2026-09-24
COHO:0001554	example study	GCST001079 (PMID:21606135), and the GWAS subset	A GWA study using the Genome-Wide Human SNP 6.0 Array (Affymetrix, Santa Clara, USA) was conducted to discover SNPs associated with CAD in the CADomics study (Coronary Artery Disease and Genomics), a case-control study of CAD (2,078 CAD cases and 2,953 controls).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3157552/unicode	The check's GWAS Catalog study for CADomics, dropped when the fifth-tier row was assembled; the Catalog tags no cohort on GCST001079.	1421 (E144)	applied 2026-09-24
COHO:0000027	type	cohort aggregation	The Cardio-metabolic Genome Epidemiology (CAGE) Network is an ongoing collaborative effort to investigate genetic and environmental factors, and their interactions affecting cardiometabolic traits/disorders among Asian populations, including the Japanese, Vietnamese and Sri Lankan35.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4673465/fullTextXML	The term is the Cardio-metabolic Genome Epidemiology (CAGE) Network, an umbrella of member studies (the Amagasaki Study, the Kyushu University Fukuoka Cohort Study, the NCGM Hospital-based Cohort Study, the KING Study and others), not one case-control collection.	1423 (E146)	applied 2026-09-24
COHO:0000027	label	Cardio-metabolic Genome Epidemiology Network (was Cardio-metabolic Genome Epidemiology Study)	The Cardio-metabolic Genome Epidemiology (CAGE) Network is an ongoing collaborative effort to investigate genetic and environmental factors, and their interactions affecting cardiometabolic traits/disorders among Asian populations, including the Japanese, Vietnamese and Sri Lankan35.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4673465/fullTextXML	The network's own name; the old label, the PGS Catalog's name for its cohort CAGE, stays as a synonym.	1423 (E146)	applied 2026-09-24
COHO:0000027	definition	An ongoing collaborative network of member studies of Asian populations, including Japanese, Vietnamese and Sri Lankan people, whose participants were recruited in a population-based or hospital-based setting depending on the design of each member study, to investigate genetic and environmental factors, and their interactions, affecting cardiometabolic traits and disorders.	The Cardio-metabolic Genome Epidemiology (CAGE) Network is an ongoing collaborative effort to investigate genetic and environmental factors, and their interactions affecting cardiometabolic traits/disorders among Asian populations, including the Japanese, Vietnamese and Sri Lankan35.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4673465/fullTextXML	Rewritten for the network from PMID:26648100.	1423 (E146)	applied 2026-09-24
COHO:0000027	hasCohort	COHO:0001556	in the 3 population- based studies of Japanese (Amagasaki, Fukuoka, and KING Studies of CAGE Network, N = 21,875 in total)	https://static-content.springer.com/esm/art%3A10.1038%2Fng.834/MediaObjects/41588_2011_BFng834_MOESM19_ESM.pdf	Member study of the CAGE Network; replaces its isSubCohortOf link to the old cohort type.	1423 (E146)	applied 2026-09-24
COHO:0000027	hasCohort	COHO:0001557	for Fukuoka Study and Kita-Nagoya Genomic Epidemiology [KING]Study of the CAGE Network	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3158568/unicode	Member study of the CAGE Network; replaces its isSubCohortOf link to the old cohort type.	1424 (E147)	applied 2026-09-24
COHO:0000027	hasCohort	COHO:0001558	It constitutes a sub-cohort of the study group of the CArdiovascular Genomic Epidemiology (CAGE) Network [4].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4284402/supplementaryFiles	Member study of the CAGE Network; replaces its isSubCohortOf link to the old cohort type.	1425 (E148)	applied 2026-09-24
COHO:0000027	hasCohort	COHO:0001065	in the 3 population- based studies of Japanese (Amagasaki, Fukuoka, and KING Studies of CAGE Network, N = 21,875 in total)	https://static-content.springer.com/esm/art%3A10.1038%2Fng.834/MediaObjects/41588_2011_BFng834_MOESM19_ESM.pdf	Member study of the CAGE Network; KING was minted in the fourth tier without a parent.	1423 (E146)	applied 2026-09-24
COHO:0000346	label	British Heart Foundation Family Heart Study (was UK BHF CAD/MI cohort)	The experiment will use the early onset patients from the German MI cohort and the UK BHF CAD/MI cohort both of which have strong family history.	https://ega-archive.org/studies/EGAS00001000079	The EGA study's UK cohort of early-onset CAD/MI patients with a strong family history, paired with the German MI family cohort as in the WTCCC and German GWAS, is the BHF Family Heart Study; the EGA text does not name it, and the Cardiogenics Study is a separate cohort (PMID:22325189 lists both). The EGA's name stays as a synonym; BHF-FHS and BHF Family Heart Study came with the fifth-tier name E114.	1390 (E114)	applied 2026-09-24
COHO:0000346	definition	A collection of families from across the United Kingdom with at least two siblings affected by premature coronary artery disease (myocardial infarction, angina verified by exercise testing or angiography, or coronary revascularisation before the 66th birthday, each verified from hospital or general practice records), recruited from April 1998 to November 2003 with British Heart Foundation funding through the media and general practices, after a pilot phase using the coronary disease databases of the lead centres in Leeds and Leicester, to study the genetic basis of premature coronary artery disease; affected siblings, and unaffected siblings where available, were interviewed by telephone and gave blood for DNA.			The check's definition of the BHF Family Heart Study (sources PMID:16380912|PMID:21966275|PMID:22325189).	1390 (E114)	applied 2026-09-24
COHO:0000460	remove synonyms	AA-DHS, African American-Diabetes Heart Study			Both belong to the African American-Diabetes Heart Study (COHO:0000990), minted in the fourth tier; the editor notes on both terms about them go too. The definition keeps its clause on the parallel African American study.	719 (D002)	applied 2026-09-24
COHO:0000460	example study	GCST90278455 (PMID:37770635) replaces GCST90244653	Diabetes Heart Study (DHS): This work was supported by R01 HL92301, R01 HL67348, R01 NS058700, R01 AR48797, R01 DK071891, R01 AG058921, the General Clinical Research Center of the Wake Forest University School of Medicine (M01 RR07122, F32 HL085989), the American Diabetes Association, and a pilot grant from the Claude Pepper Older Americans Independence Center of Wake Forest University Health Sciences (P60 AG10484).	https://static-content.springer.com/esm/art%3A10.1038%2Fs41588-023-01518-4/MediaObjects/41588_2023_1518_MOESM1_ESM.pdf	GCST90244653 is the GWAS Catalog's AA-DHS-tagged study and stays the African American term's example; GCST90278455 is tagged DiabHS and its supplementary tables list Diabetes Heart Study participants of European ancestry.	719 (D002)	applied 2026-09-24
COHO:0000841	definition	A family sample of sibships ascertained through the Australian Twin Registry, with diagnostic interviews and blood or buccal DNA, members of which were genotyped genome-wide to study genetic contributions to alcohol use and dependence and nicotine dependence.			The sample sizes of one genotyped subset (8754 individuals, 2062 alcohol-dependent cases) were taken out; the rest is unchanged.	859 (D152)	applied 2026-09-24
COHO:0000084	definition	A cohort of people from diverse population groups across Asia whose genomes are sequenced by the GenomeAsia 100K Project, to catalogue genetic variation, population structure, disease associations and founder effects and to support genetic analyses: a pilot phase sequenced people of population groups from countries across Asia, and a second phase (GenomeAsia Phase 2) added people recruited from the healthcare delivery systems of Pakistan, India and Bangladesh and from isolated South Asian population groups.	Here we describe whole genome sequence (WGS) data from 4806 individuals recruited from the healthcare delivery systems of Pakistan, India and Bangladesh, combined with WGS from 927 individuals from isolated South Asian populations.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10250394/fullTextXML	The term carries the GenomeAsia Phase 2 names (GAsP2, GAsPh2), so its definition covers both phases.	927 (D225)	applied 2026-09-24
COHO:0000084	location	Pakistan|India|Bangladesh	Here we describe whole genome sequence (WGS) data from 4806 individuals recruited from the healthcare delivery systems of Pakistan, India and Bangladesh, combined with WGS from 927 individuals from isolated South Asian populations.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10250394/fullTextXML	The second phase; the pilot keeps Asia.	927 (D225)	applied 2026-09-24
COHO:0000073	definition	A multi-phase, stratified, cross-sectional population-based survey of school-aged children in rural regions of southern Germany, Austria and Switzerland and in Poland, run from 2006 within the EU-funded GABRIEL project: a screening questionnaire (phase I), a stratified random subsample with detailed farm-exposure questionnaires and blood, genetic and environmental samples (phase II), and in Bavaria an in-depth respiratory and environmental assessment (phase III), to determine the factors in farming environments that protect against asthma and atopic disease.			The earlier definition described the Bavarian phase III subsample only; this one is the check's, from PMID:21819425, PMID:22534534, PMID:23621318 and the PMID:34155719 supplement.	1115 (D424)	applied 2026-09-24
COHO:0000073	location	Germany|Austria|Switzerland	In rural regions of Austria, Germany, and Switzerland, 79,888 school-aged children answered a recruiting questionnaire (phase I).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22534534+AND+SRC%3AMED&format=json&resultType=core	Phase I of the survey; replaces the phase III location (Bavaria, Germany).	1115 (D424)	applied 2026-09-24
COHO:0000073	location	Poland	In rural Poland, 23 331 families of schoolchildren completed a questionnaire enquiring into farming practices and allergic diseases (Phase I).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A23621318+AND+SRC%3AMED&format=json&resultType=core	Phase I of the survey; replaces the phase III location (Bavaria, Germany).	1115 (D424)	applied 2026-09-24
COHO:0000186	isSubCohortOf	Health and Prevention Enhancement (COHO:0001355)	We prospectively collected blood samples from 17 455 of those individuals (9396 men and 8059 women) from October 2013 to form the Gene-environmental interaction and phenotype (GENIE) study, a subcohort of the H-PEACE study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5914782/fullTextXML	GENIE is the blood-sampled subcohort of H-PEACE, minted in the fourth tier.	1142 (D452)	applied 2026-09-24
COHO:0000505	checked: acronym GARNET and synonym Genomics and Randomized Trials Network	no change	White WHI participants were drawn from three substudies: the Genome-wide Association Research Network into Effects of Treatment (GARNET) (National Institutes of Health 2013), Modification of PM-Mediated Arrhythmogenesis in Populations (MOPMAP) (National Institutes of Health 2010), and Women's Health Initiative Memory Study (WHIMS) (Shumaker et al. 1998).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5714283/fullTextXML	A check asked whether the bare acronym and the network's name belong to this WHI-only term, since the NHGRI network also genotyped VISP. Neither Catalog uses a bare GARNET tag (the GWAS Catalog tags all 57 studies WHI-GARNET), WHI papers call this substudy GARNET, a Catalog paper's supplement calls it Women's Health Initiative (Genomics and Randomized Trials Network), and no other term carries either name.	776 (D066)	checked 2026-09-24, no change
COHO:0001141	obsoleted	replaced by COHO:0001116 (Asian Indian Diabetic Heart Study/Sikh Diabetes Study)	the AIDHS (also named the SDS)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3636649/fullTextXML	One cohort, minted twice from the catalog tags AIDHS and SDS: the check of the SDS name found the investigators calling it 'the AIDHS (also named the SDS)' and said the names must be one term, a merge that was not carried out when the rows were minted. COHO:0001116 already carried every name of COHO:0001141; its definition, example and location rows go, and it leaves the GWAS subset.	895 (D190)	applied 2026-09-24
COHO:0000029	hasCohort	COHO:0001116 replaces COHO:0001141	A total of 1616 subjects used in this study are part of the Sikh Diabetes Study/Asian Indian Diabetic Heart Study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4589895/supplementaryFiles	The CARDIoGRAMplusC4D member is the merged cohort.	895 (D190)	applied 2026-09-24
COHO:0001116	acronym and name notes	the seven editor notes naming COHO:0001141 removed; the case variant Asian Indian diabetic heart study added as a synonym			The shared names now belong to one term.	866 (D160)	applied 2026-09-24
COHO:0001116	review row	the Sikh Diabetes Study (PGS Catalog id SiDS) now resolves to this term			It had been resolved to COHO:0001141 earlier the same day.	2311 (E1026)	applied 2026-09-24
COHO:0000279	link	hasCohort from IMMUcan (COHO:0000278)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 276	already present, checked 2026-09-24
COHO:0000287	link	isSubCohortOf LifeLines (COHO:0000108)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 284	already present, checked 2026-09-24
COHO:0000288	link	isSubCohortOf LifeLines (COHO:0000108)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 285	already present, checked 2026-09-24
COHO:0000306	link	isSubCohortOf UK Adult Twin Register/TwinsUK (COHO:0000175)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 303	already present, checked 2026-09-24
COHO:0000337	link	isSubCohortOf Swedish Twin Registry (COHO:0000160)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 334	already present, checked 2026-09-24
COHO:0000349	link	hasCohort from UK10K (COHO:0000348)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 346	already present, checked 2026-09-24
COHO:0000382	link	isSubCohortOf UK Biobank (COHO:0000176)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 379	already present, checked 2026-09-24
COHO:0000938	link	hasCohort from Tohoku Medical Megabank Project (COHO:0000533)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 934	already present, checked 2026-09-24
COHO:0000939	link	hasCohort from Tohoku Medical Megabank Project (COHO:0000533)			The reviewer asked for this link; it is already asserted (checked in coho-edit.owl and aggregation_members_curated.tsv on 2026-09-24).	review of 2026-09-24, row 935	already present, checked 2026-09-24
COHO:0000348	link	hasCohort COHO:0000016 (ALSPAC) and COHO:0000175 (TwinsUK); type cohort aggregation			Reviewer: UK10K is made from the ALSPAC and TwinsUK cohorts. UK10K is already a cohort aggregation with both as members (aggregation_members_curated.tsv, quote from EGAS00001000090), and its rare-disease collections as further members.	review of 2026-09-24, row 345	already present, checked 2026-09-24
COHO:0000267	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 264	already present, checked 2026-09-24
COHO:0000268	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 265	already present, checked 2026-09-24
COHO:0000269	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 266	already present, checked 2026-09-24
COHO:0000270	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 267	already present, checked 2026-09-24
COHO:0000271	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 268	already present, checked 2026-09-24
COHO:0000272	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 269	already present, checked 2026-09-24
COHO:0000273	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 270	already present, checked 2026-09-24
COHO:0000274	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 271	already present, checked 2026-09-24
COHO:0000275	link	hasCohort from International Cancer Genome Consortium (COHO:0000282)			The reviewer confirms each ICGC project sits under ICGC as the aggregation; all nine memberships are already in aggregation_members_curated.tsv.	review of 2026-09-24, row 272	already present, checked 2026-09-24
COHO:0000354	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 351	already present, checked 2026-09-24
COHO:0000355	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 352	already present, checked 2026-09-24
COHO:0000356	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 353	already present, checked 2026-09-24
COHO:0000357	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 354	already present, checked 2026-09-24
COHO:0000358	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 355	already present, checked 2026-09-24
COHO:0000359	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 356	already present, checked 2026-09-24
COHO:0000360	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 357	already present, checked 2026-09-24
COHO:0000361	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 358	already present, checked 2026-09-24
COHO:0000362	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 359	already present, checked 2026-09-24
COHO:0000363	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 360	already present, checked 2026-09-24
COHO:0000364	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 361	already present, checked 2026-09-24
COHO:0000365	link	hasCohort from Wellcome Trust Case Control Consortium (COHO:0000182)			Marked yellow without a note; each of the twelve WTCCC case-control studies is already a member of COHO:0000182 through aggregation_members_evidence.tsv (include = yes), so the generated component asserts it.	review of 2026-09-24, row 362	already present, checked 2026-09-24
COHO:0000858	link	isSubCohortOf COHO:0000857 (Austrian Stroke Prevention Study)	The Austrian Stroke Prevention Family Study (ASPS-Fam) cohort represents an extension of the prospective, population-based ASPS (Austrian Stroke Prevention Study) on the effects of vascular risk factors in normal aging.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10030935/fullTextXML	The reviewer asked whether ASPS and ASPS-Fam are the same thing. They are distinct: ASPS-Fam invited ASPS participants and their first-degree relatives in 2006-2013 as a family-based extension, and the sources separate the two (N = 183 ASPS and N = 302 ASPS-Fam in PMC9071440); both terms stay, and the isSubCohortOf link is already asserted.	review of 2026-09-24, row 854	already present, checked 2026-09-24
COHO:0000883	link	isSubCohortOf COHO:0000884 (Swedish Rheumatology Quality Register)	Our primary analysis cohort consisted of early-RA patients receiving MTX in DMARD monotherapy as their first RA treatment, identified in the Epidemiological Investigation of RA (EIRA) biobank or the Swedish Rheumatology Quality Register’s (SRQ) biobank (SRQb).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11065441/fullTextXML	The reviewer asked whether the register and its biobank are the same thing. They are distinct: SRQ is the nationwide quality register (mid-1990s) and SRQb the research biobank of blood samples from more than 5500 of its rheumatoid arthritis patients; the GWAS Catalog tag SRQRB denotes the biobank. Both terms stay, and the isSubCohortOf link is already asserted.	review of 2026-09-24, row 880	already present, checked 2026-09-24
